ticket_id,created_at,agent_id,priority,resolution_hours,channel
128,2024-03-03 15:30:00,209.0,Low,16.72,Phone
129,2024-03-03 16:00:00,233.0,Low,3.06,Phone
130,2024-03-03 16:30:00,226.0,High,36.91,Phone
131,2024-03-03 17:00:00,221.0,Low,8.7,Chat
132,2024-03-03 17:30:00,214.0,High,14.23,Email
133,2024-03-03 18:00:00,203.0,High,10.02,Chat
134,2024-03-03 18:30:00,224.0,High,22.58,Email
135,2024-03-03 19:00:00,249.0,Medium,17.12,Email
136,2024-03-03 19:30:00,205.0,High,21.23,Chat
137,2024-03-03 20:00:00,224.0,Low,7.57,Phone
138,2024-03-03 20:30:00,258.0,High,13.39,Email
139,2024-03-03 21:00:00,257.0,Medium,16.31,Chat
140,2024-03-03 21:30:00,212.0,Low,42.51,Phone
141,2024-03-03 22:00:00,200.0,Low,18.75,Email
142,2024-03-03 22:30:00,240.0,High,10.39,Chat
143,2024-03-03 23:00:00,200.0,High,26.92,Chat
144,2024-03-03 23:30:00,218.0,Low,6.4,Phone
145,2024-03-04 00:00:00,229.0,Medium,14.27,Phone
146,2024-03-04 00:30:00,252.0,Medium,13.64,Email
147,2024-03-04 01:00:00,205.0,Medium,7.47,Chat
148,2024-03-04 01:30:00,,Medium,8.71,Email
149,2024-03-04 02:00:00,231.0,High,14.68,Email
150,2024-03-04 02:30:00,207.0,Low,2.13,Chat
151,2024-03-04 03:00:00,250.0,High,11.38,Email
152,2024-03-04 03:30:00,250.0,Low,1.11,Chat
153,2024-03-04 04:00:00,228.0,High,0.89,Chat
154,2024-03-04 04:30:00,256.0,High,20.44,Chat
155,2024-03-04 05:00:00,236.0,High,9.74,Email
156,2024-03-04 05:30:00,254.0,High,17.13,Chat
157,2024-03-04 06:00:00,257.0,High,13.39,Email
158,2024-03-04 06:30:00,234.0,Medium,24.65,Chat
159,2024-03-04 07:00:00,,High,8.93,Phone
160,2024-03-04 07:30:00,208.0,Medium,6.7,Email
161,2024-03-04 08:00:00,233.0,Low,8.06,Unknown
162,2024-03-04 08:30:00,211.0,Low,1.19,Email
163,2024-03-04 09:00:00,245.0,High,17.51,Phone
164,2024-03-04 09:30:00,255.0,High,1.29,Email
165,2024-03-04 10:00:00,214.0,Medium,14.0,Email
166,2024-03-04 10:30:00,233.0,High,16.84,Phone
167,2024-03-04 11:00:00,202.0,Low,3.27,Chat
168,2024-03-04 11:30:00,210.0,High,3.62,Email
169,2024-03-04 12:00:00,222.0,Low,2.82,Chat
170,2024-03-04 12:30:00,253.0,Low,4.29,Phone
171,2024-03-04 13:00:00,258.0,Medium,7.59,Phone
172,2024-03-04 13:30:00,238.0,High,5.44,Email
173,2024-03-04 14:00:00,235.0,Low,6.58,Email
174,2024-03-04 14:30:00,234.0,High,4.37,Chat
175,2024-03-04 15:00:00,203.0,Medium,31.62,Email
176,2024-03-04 15:30:00,222.0,Medium,10.28,Email
177,2024-03-04 16:00:00,258.0,Low,5.72,Phone
178,2024-03-04 16:30:00,224.0,High,3.65,Phone
179,2024-03-04 17:00:00,212.0,High,14.4,Email
180,2024-03-04 17:30:00,214.0,High,10.21,Chat
181,2024-03-04 18:00:00,242.0,Low,18.13,Chat
182,2024-03-04 18:30:00,202.0,High,9.77,Phone
183,2024-03-04 19:00:00,258.0,Medium,16.44,Chat
184,2024-03-04 19:30:00,252.0,Medium,5.66,Email
185,2024-03-04 20:00:00,234.0,High,1.52,Phone
186,2024-03-04 20:30:00,228.0,High,5.9,Email
187,2024-03-04 21:00:00,245.0,High,3.85,Chat
188,2024-03-04 21:30:00,232.0,High,4.04,Email
189,2024-03-04 22:00:00,228.0,High,16.11,Chat
190,2024-03-04 22:30:00,219.0,Low,13.53,Email
191,2024-03-04 23:00:00,226.0,High,10.48,Phone
192,2024-03-04 23:30:00,245.0,Medium,6.52,Chat
193,2024-03-05 00:00:00,203.0,Low,14.83,Chat
194,2024-03-05 00:30:00,201.0,Low,8.43,Phone
195,2024-03-05 01:00:00,243.0,Low,11.21,Chat
196,2024-03-05 01:30:00,222.0,High,16.72,Chat
197,2024-03-05 02:00:00,248.0,High,7.61,Email
198,2024-03-05 02:30:00,201.0,High,6.84,Chat
199,2024-03-05 03:00:00,254.0,High,20.7,Chat
200,2024-03-05 03:30:00,207.0,Low,7.05,Phone
201,2024-03-05 04:00:00,224.0,Medium,9.24,Chat
202,2024-03-05 04:30:00,258.0,High,20.65,Email
203,2024-03-05 05:00:00,206.0,High,8.15,Chat
204,2024-03-05 05:30:00,239.0,High,6.47,Phone
205,2024-03-05 06:00:00,243.0,Low,29.23,Email
206,2024-03-05 06:30:00,225.0,Low,15.22,Email
207,2024-03-05 07:00:00,204.0,Medium,4.02,Unknown
208,2024-03-05 07:30:00,231.0,High,10.08,Chat
209,2024-03-05 08:00:00,226.0,Medium,6.23,Phone
210,2024-03-05 08:30:00,252.0,High,8.31,Chat
211,2024-03-05 09:00:00,240.0,Low,24.92,Email
212,2024-03-05 09:30:00,220.0,Medium,1.76,Chat
213,2024-03-05 10:00:00,203.0,Low,1.95,Email
214,2024-03-05 10:30:00,235.0,High,14.5,Chat
215,2024-03-05 11:00:00,216.0,High,5.79,Email
216,2024-03-05 11:30:00,241.0,High,4.98,Phone
217,2024-03-05 12:00:00,251.0,Low,2.44,Chat
218,2024-03-05 12:30:00,221.0,High,24.8,Chat
219,2024-03-05 13:00:00,254.0,Low,22.37,Email
220,2024-03-05 13:30:00,231.0,High,8.32,Chat
221,2024-03-05 14:00:00,231.0,High,5.7,Email
222,2024-03-05 14:30:00,245.0,Low,15.48,Email
223,2024-03-05 15:00:00,247.0,Medium,19.25,Email
224,2024-03-05 15:30:00,254.0,Low,12.44,Email
225,2024-03-05 16:00:00,259.0,High,9.15,Chat
226,2024-03-05 16:30:00,209.0,High,3.42,Chat
227,2024-03-05 17:00:00,224.0,Medium,11.24,Phone
228,2024-03-05 17:30:00,256.0,High,36.61,Email
229,2024-03-05 18:00:00,218.0,Medium,4.44,Chat
230,2024-03-05 18:30:00,200.0,High,2.09,Unknown
231,2024-03-05 19:00:00,,Low,8.63,Email
232,2024-03-05 19:30:00,245.0,High,20.52,Email
233,2024-03-05 20:00:00,244.0,Medium,21.54,Phone
234,2024-03-05 20:30:00,248.0,High,6.48,Email
235,2024-03-05 21:00:00,238.0,Medium,6.37,Phone
236,2024-03-05 21:30:00,208.0,High,26.29,Chat
237,2024-03-05 22:00:00,250.0,Medium,11.33,Phone
238,2024-03-05 22:30:00,225.0,High,17.82,Chat
239,2024-03-05 23:00:00,250.0,Low,8.89,Chat
240,2024-03-05 23:30:00,248.0,Medium,16.5,Email
241,2024-03-06 00:00:00,258.0,Low,10.53,Unknown
242,2024-03-06 00:30:00,200.0,Medium,10.015,Email
243,2024-03-06 01:00:00,251.0,Low,4.68,Phone
244,2024-03-06 01:30:00,237.0,Medium,3.05,Chat
245,2024-03-06 02:00:00,229.0,High,14.31,Chat
246,2024-03-06 02:30:00,247.0,High,1.16,Chat
247,2024-03-06 03:00:00,,High,13.93,Email
248,2024-03-06 03:30:00,230.0,Low,21.2,Phone
249,2024-03-06 04:00:00,205.0,High,14.07,Email
250,2024-03-06 04:30:00,243.0,Low,11.11,Phone
251,2024-03-06 05:00:00,213.0,Low,15.71,Phone
252,2024-03-06 05:30:00,213.0,Low,11.02,Email
253,2024-03-06 06:00:00,211.0,Medium,2.4,Email
254,2024-03-06 06:30:00,211.0,Low,9.16,Phone
255,2024-03-06 07:00:00,254.0,Low,4.49,Phone
256,2024-03-06 07:30:00,,High,26.65,Email
257,2024-03-06 08:00:00,206.0,High,16.9,Phone
258,2024-03-06 08:30:00,210.0,High,8.85,Phone
259,2024-03-06 09:00:00,223.0,High,12.83,Chat
260,2024-03-06 09:30:00,220.0,High,7.91,Phone
261,2024-03-06 10:00:00,218.0,High,25.49,Unknown
262,2024-03-06 10:30:00,256.0,Medium,4.94,Email
263,2024-03-06 11:00:00,251.0,High,34.77,Phone
264,2024-03-06 11:30:00,234.0,Low,21.66,Phone
265,2024-03-06 12:00:00,259.0,High,4.08,Chat
266,2024-03-06 12:30:00,220.0,Medium,7.17,Email
267,2024-03-06 13:00:00,208.0,Low,12.17,Unknown
268,2024-03-06 13:30:00,216.0,High,14.71,Phone
269,2024-03-06 14:00:00,205.0,High,20.75,Chat
270,2024-03-06 14:30:00,257.0,High,7.06,Email
271,2024-03-06 15:00:00,213.0,Medium,4.62,Unknown
272,2024-03-06 15:30:00,226.0,High,9.89,Email
273,2024-03-06 16:00:00,212.0,High,4.79,Phone
274,2024-03-06 16:30:00,258.0,Medium,7.02,Chat
275,2024-03-06 17:00:00,209.0,Low,3.54,Chat
276,2024-03-06 17:30:00,230.0,Low,41.26,Phone
277,2024-03-06 18:00:00,257.0,High,16.33,Email
278,2024-03-06 18:30:00,231.0,High,9.37,Email
279,2024-03-06 19:00:00,253.0,Medium,16.61,Email
280,2024-03-06 19:30:00,253.0,Medium,9.84,Chat
281,2024-03-06 20:00:00,246.0,Low,5.8,Email
282,2024-03-06 20:30:00,244.0,Medium,14.6,Phone
283,2024-03-06 21:00:00,234.0,High,3.14,Phone
284,2024-03-06 21:30:00,234.0,Medium,5.17,Chat
285,2024-03-06 22:00:00,249.0,High,19.33,Email
286,2024-03-06 22:30:00,225.0,High,11.11,Email
287,2024-03-06 23:00:00,256.0,Low,17.55,Chat
288,2024-03-06 23:30:00,252.0,Medium,12.58,Phone
289,2024-03-07 00:00:00,222.0,Medium,2.96,Phone
290,2024-03-07 00:30:00,224.0,High,6.93,Phone
291,2024-03-07 01:00:00,242.0,High,20.43,Email
292,2024-03-07 01:30:00,255.0,Medium,9.02,Chat
293,2024-03-07 02:00:00,205.0,Low,17.66,Chat
294,2024-03-07 02:30:00,204.0,High,10.34,Chat
295,2024-03-07 03:00:00,214.0,High,3.35,Chat
296,2024-03-07 03:30:00,225.0,Medium,18.72,Email
297,2024-03-07 04:00:00,209.0,High,7.67,Email
298,2024-03-07 04:30:00,231.0,Medium,27.59,Chat
299,2024-03-07 05:00:00,232.0,High,8.76,Email
300,2024-03-07 05:30:00,257.0,High,6.12,Phone
301,2024-03-07 06:00:00,244.0,Medium,7.01,Chat
302,2024-03-07 06:30:00,215.0,High,12.27,Email
303,2024-03-07 07:00:00,247.0,High,1.39,Chat
304,2024-03-07 07:30:00,248.0,High,7.08,Unknown
305,2024-03-07 08:00:00,240.0,Medium,0.72,Chat
306,2024-03-07 08:30:00,240.0,Medium,19.08,Email
307,2024-03-07 09:00:00,218.0,Low,10.28,Phone
308,2024-03-07 09:30:00,243.0,High,18.78,Chat
309,2024-03-07 10:00:00,208.0,High,29.25,Chat
310,2024-03-07 10:30:00,237.0,Medium,5.69,Chat
311,2024-03-07 11:00:00,255.0,High,19.32,Phone
312,2024-03-07 11:30:00,258.0,High,4.64,Chat
313,2024-03-07 12:00:00,217.0,High,1.0,Chat
314,2024-03-07 12:30:00,219.0,High,14.1,Email
315,2024-03-07 13:00:00,237.0,Medium,4.85,Phone
316,2024-03-07 13:30:00,223.0,High,31.68,Phone
317,2024-03-07 14:00:00,243.0,High,16.32,Email
318,2024-03-07 14:30:00,212.0,High,1.1,Email
319,2024-03-07 15:00:00,210.0,High,9.92,Email
320,2024-03-07 15:30:00,203.0,High,5.84,Phone
321,2024-03-07 16:00:00,228.0,Medium,17.1,Chat
322,2024-03-07 16:30:00,212.0,High,8.06,Chat
323,2024-03-07 17:00:00,217.0,High,22.77,Unknown
324,2024-03-07 17:30:00,254.0,Low,15.72,Phone
325,2024-03-07 18:00:00,248.0,Low,39.95,Chat
326,2024-03-07 18:30:00,250.0,High,14.03,Chat
327,2024-03-07 19:00:00,235.0,Medium,5.87,Chat
328,2024-03-07 19:30:00,206.0,High,9.38,Chat
329,2024-03-07 20:00:00,244.0,Low,4.99,Phone
330,2024-03-07 20:30:00,236.0,Low,3.6,Phone
331,2024-03-07 21:00:00,254.0,Low,11.52,Email
332,2024-03-07 21:30:00,228.0,Low,14.59,Phone
333,2024-03-07 22:00:00,210.0,High,7.57,Email
334,2024-03-07 22:30:00,235.0,High,10.24,Email
335,2024-03-07 23:00:00,227.0,Low,4.03,Chat
336,2024-03-07 23:30:00,239.0,High,5.59,Email
337,2024-03-08 00:00:00,222.0,High,6.57,Email
338,2024-03-08 00:30:00,218.0,Low,1.37,Email
339,2024-03-08 01:00:00,207.0,High,5.94,Phone
340,2024-03-08 01:30:00,257.0,High,3.46,Chat
341,2024-03-08 02:00:00,245.0,Medium,6.83,Email
342,2024-03-08 02:30:00,227.0,Medium,0.98,Chat
343,2024-03-08 03:00:00,214.0,High,12.91,Chat
344,2024-03-08 03:30:00,237.0,High,22.3,Phone
345,2024-03-08 04:00:00,224.0,High,8.41,Email
346,2024-03-08 04:30:00,238.0,High,13.22,Email
347,2024-03-08 05:00:00,205.0,Medium,9.96,Phone
348,2024-03-08 05:30:00,211.0,Medium,16.1,Phone
349,2024-03-08 06:00:00,244.0,Low,9.66,Phone
350,2024-03-08 06:30:00,203.0,Medium,2.05,Email
351,2024-03-08 07:00:00,240.0,High,29.24,Email
352,2024-03-08 07:30:00,224.0,Low,1.89,Phone
353,2024-03-08 08:00:00,200.0,Low,14.38,Unknown
354,2024-03-08 08:30:00,245.0,Low,16.77,Email
355,2024-03-08 09:00:00,241.0,Low,2.63,Chat
356,2024-03-08 09:30:00,248.0,High,6.43,Chat
357,2024-03-08 10:00:00,253.0,Medium,7.12,Email
358,2024-03-08 10:30:00,243.0,High,10.1,Email
359,2024-03-08 11:00:00,250.0,High,16.45,Email
360,2024-03-08 11:30:00,206.0,High,2.66,Unknown
361,2024-03-08 12:00:00,255.0,Medium,7.89,Chat
362,2024-03-08 12:30:00,254.0,Medium,17.6,Email
363,2024-03-08 13:00:00,241.0,Low,18.68,Email
364,2024-03-08 13:30:00,248.0,High,19.54,Chat
365,2024-03-08 14:00:00,244.0,High,16.72,Phone
366,2024-03-08 14:30:00,252.0,Medium,7.69,Email
367,2024-03-08 15:00:00,253.0,Low,3.6,Phone
368,2024-03-08 15:30:00,231.0,High,20.4,Email
369,2024-03-08 16:00:00,248.0,High,8.35,Email
370,2024-03-08 16:30:00,254.0,High,16.01,Chat
371,2024-03-08 17:00:00,217.0,Medium,3.82,Email
372,2024-03-08 17:30:00,202.0,Low,1.75,Chat
373,2024-03-08 18:00:00,210.0,High,12.62,Chat
374,2024-03-08 18:30:00,201.0,High,26.67,Email
375,2024-03-08 19:00:00,226.0,Low,5.95,Phone
376,2024-03-08 19:30:00,201.0,High,2.7,Phone
377,2024-03-08 20:00:00,215.0,Low,13.41,Phone
378,2024-03-08 20:30:00,215.0,High,12.57,Chat
379,2024-03-08 21:00:00,242.0,High,5.99,Email
380,2024-03-08 21:30:00,214.0,High,2.23,Chat
381,2024-03-08 22:00:00,256.0,High,25.71,Chat
382,2024-03-08 22:30:00,211.0,High,6.54,Chat
383,2024-03-08 23:00:00,258.0,Low,24.34,Phone
384,2024-03-08 23:30:00,234.0,High,2.16,Email
385,2024-03-09 00:00:00,,High,11.54,Phone
386,2024-03-09 00:30:00,202.0,Medium,4.58,Chat
387,2024-03-09 01:00:00,218.0,Medium,7.54,Email
388,2024-03-09 01:30:00,235.0,High,13.3,Chat
389,2024-03-09 02:00:00,206.0,High,7.32,Unknown
390,2024-03-09 02:30:00,209.0,High,15.78,Phone
391,2024-03-09 03:00:00,206.0,Low,11.4,Email
392,2024-03-09 03:30:00,240.0,Low,4.97,Email
393,2024-03-09 04:00:00,205.0,High,2.68,Chat
394,2024-03-09 04:30:00,201.0,High,3.96,Unknown
395,2024-03-09 05:00:00,227.0,High,17.06,Chat
396,2024-03-09 05:30:00,218.0,Medium,3.4,Chat
397,2024-03-09 06:00:00,234.0,Medium,1.0,Email
398,2024-03-09 06:30:00,256.0,Low,16.31,Email
399,2024-03-09 07:00:00,251.0,High,19.12,Phone
400,2024-03-09 07:30:00,232.0,Low,2.89,Email
401,2024-03-09 08:00:00,238.0,High,14.64,Chat
402,2024-03-09 08:30:00,248.0,High,5.24,Chat
403,2024-03-09 09:00:00,226.0,High,3.24,Chat
404,2024-03-09 09:30:00,239.0,Medium,13.54,Phone
405,2024-03-09 10:00:00,212.0,High,3.55,Chat
406,2024-03-09 10:30:00,236.0,Low,14.45,Email
407,2024-03-09 11:00:00,214.0,Low,8.43,Chat
408,2024-03-09 11:30:00,211.0,Low,2.91,Chat
409,2024-03-09 12:00:00,245.0,Low,18.22,Email
410,2024-03-09 12:30:00,234.0,Medium,4.89,Unknown
411,2024-03-09 13:00:00,222.0,Low,6.99,Chat
412,2024-03-09 13:30:00,202.0,High,14.17,Unknown
413,2024-03-09 14:00:00,214.0,Medium,20.82,Phone
414,2024-03-09 14:30:00,248.0,Low,5.91,Email
415,2024-03-09 15:00:00,228.0,High,9.21,Email
416,2024-03-09 15:30:00,257.0,Medium,3.99,Phone
417,2024-03-09 16:00:00,254.0,High,1.92,Email
418,2024-03-09 16:30:00,251.0,High,12.0,Phone
419,2024-03-09 17:00:00,200.0,High,14.37,Unknown
420,2024-03-09 17:30:00,203.0,Low,22.09,Phone
421,2024-03-09 18:00:00,234.0,Medium,8.04,Chat
422,2024-03-09 18:30:00,220.0,Medium,32.21,Chat
423,2024-03-09 19:00:00,250.0,High,4.21,Phone
424,2024-03-09 19:30:00,219.0,High,5.24,Chat
425,2024-03-09 20:00:00,209.0,Low,11.4,Email
426,2024-03-09 20:30:00,206.0,High,1.38,Phone
427,2024-03-09 21:00:00,218.0,Medium,13.4,Email
428,2024-03-09 21:30:00,237.0,High,8.6,Email
429,2024-03-09 22:00:00,207.0,High,10.08,Chat
430,2024-03-09 22:30:00,247.0,Low,2.12,Phone
431,2024-03-09 23:00:00,218.0,Low,7.13,Phone
432,2024-03-09 23:30:00,218.0,High,13.19,Chat
433,2024-03-10 00:00:00,239.0,Medium,14.69,Phone
434,2024-03-10 00:30:00,251.0,Medium,10.15,Chat
435,2024-03-10 01:00:00,226.0,Medium,15.8,Email
436,2024-03-10 01:30:00,247.0,Low,36.11,Email
437,2024-03-10 02:00:00,218.0,High,8.3,Chat
438,2024-03-10 02:30:00,207.0,Medium,2.96,Email
439,2024-03-10 03:00:00,249.0,Low,36.47,Chat
440,2024-03-10 03:30:00,246.0,High,4.45,Email
441,2024-03-10 04:00:00,245.0,Low,21.86,Chat
442,2024-03-10 04:30:00,252.0,High,12.96,Email
443,2024-03-10 05:00:00,229.0,High,4.51,Email
444,2024-03-10 05:30:00,211.0,Medium,16.49,Chat
445,2024-03-10 06:00:00,235.0,Medium,31.8,Phone
446,2024-03-10 06:30:00,234.0,Low,0.51,Phone
447,2024-03-10 07:00:00,223.0,Medium,12.05,Email
448,2024-03-10 07:30:00,238.0,High,10.3,Chat
449,2024-03-10 08:00:00,215.0,High,26.23,Chat
450,2024-03-10 08:30:00,236.0,High,16.29,Phone
451,2024-03-10 09:00:00,247.0,High,3.19,Email
452,2024-03-10 09:30:00,205.0,High,0.41,Phone
453,2024-03-10 10:00:00,227.0,High,13.49,Email
454,2024-03-10 10:30:00,239.0,Low,16.74,Phone
455,2024-03-10 11:00:00,203.0,High,6.73,Email
456,2024-03-10 11:30:00,237.0,High,8.22,Chat
457,2024-03-10 12:00:00,254.0,Medium,3.64,Chat
458,2024-03-10 12:30:00,249.0,High,15.68,Chat
459,2024-03-10 13:00:00,241.0,High,9.84,Email
460,2024-03-10 13:30:00,248.0,Medium,16.09,Phone
461,2024-03-10 14:00:00,221.0,High,7.45,Unknown
462,2024-03-10 14:30:00,219.0,Medium,4.68,Phone
463,2024-03-10 15:00:00,205.0,High,5.57,Email
464,2024-03-10 15:30:00,243.0,Low,31.19,Email
465,2024-03-10 16:00:00,218.0,Medium,22.26,Phone
466,2024-03-10 16:30:00,252.0,Medium,19.31,Chat
467,2024-03-10 17:00:00,227.0,Low,22.47,Chat
468,2024-03-10 17:30:00,253.0,Low,8.26,Phone
469,2024-03-10 18:00:00,208.0,High,9.52,Phone
470,2024-03-10 18:30:00,209.0,Medium,2.58,Chat
471,2024-03-10 19:00:00,220.0,High,15.66,Email
472,2024-03-10 19:30:00,,High,21.53,Email
473,2024-03-10 20:00:00,229.0,Medium,7.09,Email
474,2024-03-10 20:30:00,239.0,Low,30.54,Email
